"","O3","RH","SR","TOUT","WSR","O3P"
"148",25,64,0.001,16.76,5.4,41.75
"149",33,56,0.002,15.93,6.7,39.875
"150",33,70,0.003,13.19,7.1,37.375
"151",28,70,0.002,12.81,4.9,35.375
"152",21,76,0.002,11.95,5.5,33.25
"153",16,84,0.004,10.85,5.2,28.875
"154",9,86,0.012,10.61,4.4,24
"155",9,87,0.028,10.21,3.9,21.75
"156",6,87,0.045,10.44,2.8,19.375
"157",17,85,0.126,11.26,5.6,17.375
"158",18,80,0.117,12.39,4,15.5
"159",14,76,0.131,12.98,4.3,13.75
"160",19,72,0.134,13.15,6.1,13.5
"161",19,70,0.153,13.3,5.9,13.875
"162",15,70,0.116,13.28,6,14.625
"163",9,73,0.03,12.68,4.9,14.625
"164",4,77,0.002,11.69,2.9,14.375
"165",7,77,0.002,11.43,5.5,13.125
"166",15,74,0.003,11.72,9,12.75
"167",13,75,0.003,11.38,8.4,12.625
"168",13,76,0.003,10.98,7.4,11.875
"169",13,76,0.003,10.94,6.2,11.125
"171",7,78,0.001,10.64,2.8,10.2857142857143
"172",5,79,0.002,10.69,5.2,10.4285714285714
"173",3,79,0.001,10.51,5.1,9.85714285714286
"174",2,79,0.002,10.84,4.5,8
"175",2,80,0.001,10.26,3.1,6.42857142857143
"176",2,83,0.001,9.48,2.1,4.85714285714286
"178",3,81,0.091,10.52,4.9,3.42857142857143
"179",9,73,0.272,13.68,4.8,3.71428571428571
"180",17,62,0.376,17.07,6.7,5.42857142857143
"181",24,54,0.473,19.89,4.8,8.42857142857143
"182",31,49,0.446,21.81,4.7,12.5714285714286
"183",44,44,0.366,23.8,4.9,18.5714285714286
"184",47,46,0.265,23.92,5.1,25
"185",48,48,0.13,23.32,2.6,27.875
"186",48,44,0.114,24.2,8.4,33.5
"187",42,44,0.037,23.58,5.6,37.625
"188",26,54,0.002,21.07,3.3,38.75
"189",6,63,0.001,19.19,2.5,36.5
"190",3,68,0.001,17.84,2.8,33
"191",3,70,0.001,16.63,2.2,27.875
"192",3,72,0.001,15.5,1.9,22.375
"194",4,75,0.001,14.2,2.8,12.4285714285714
"195",3,76,0.001,13.61,2.5,6.85714285714286
"196",3,79,0.001,12.79,2.1,3.57142857142857
"197",2,82,0.001,12.05,2.1,3
"198",3,83,0.001,11.7,2.1,3
"199",3,83,0.001,11.72,2.4,3
"200",2,83,0.001,11.73,2.8,2.85714285714286
"201",2,82,0.007,11.31,2.3,2.75
"202",4,77,0.117,13.82,2,2.75
"203",13,52,0.268,18.41,6.7,4
"204",35,52,0.407,20.97,7.9,8
"205",46,45,0.489,23.66,7.5,13.5
"206",79,40,0.523,24.54,9.4,23
"207",86,46,0.5,25.55,8.7,33.375
"208",81,50,0.421,26.16,9.3,43.25
"209",63,49,0.3,26.29,9.7,50.875
"210",47,52,0.193,25.28,10.9,56.25
"211",38,57,0.03,23.31,10.7,59.375
"212",33,61,0.002,21.95,8.3,59.125
"213",32,57,0.002,20.91,6.8,57.375
"214",31,61,0.002,19.74,7.3,51.375
"215",34,63,0.002,19.41,9.6,44.875
"216",35,60,0.002,19.17,6.8,39.125
"217",33,41,0.002,18.71,10.4,35.375
"218",31,31,0.002,17.23,7.8,33.375
"219",30,32,0.002,16.38,10.2,32.375
"220",29,34,0.002,15.22,10.8,31.875
"221",30,36,0.002,14.02,8.4,31.625
"222",28,36,0.002,13.08,8.3,31.25
"223",25,40,0.002,12.33,8.3,30.125
"224",22,44,0.002,11.45,8.3,28.5
"226",15,45,0.022,10.78,7.4,24.625
"227",12,44,0.05,11.05,5.9,22.375
"228",12,43,0.076,11.38,6.6,20.25
"229",15,42,0.076,11.37,8.5,18.375
"230",17,41,0.129,11.28,7.7,17
"231",19,39,0.11,11.63,5.5,16.25
"232",17,39,0.075,11.74,5.5,15.625
"233",16,38,0.062,11.89,6.4,15.375
"234",18,37,0.037,12.09,6,15.75
"235",15,37,0.011,12.31,5.4,16.125
"236",17,37,0.002,12.29,4.8,16.75
"237",15,36,0.002,11.55,5.6,16.75
"238",19,35,0.002,11.39,7.3,17
"239",19,36,0.002,11.26,6.2,17
"240",19,39,0.002,11.17,5.1,17.25
"241",26,42,0.002,11.26,5.3,18.5
"242",24,45,0.002,11.13,3,19.25
"243",22,46,0.002,11.02,2.4,20.125
"244",19,48,0.002,10.91,2.6,20.375
"245",15,51,0.002,10.89,5.3,20.375
"246",11,52,0.002,10.72,3.7,19.375
"247",13,53,0.002,10.52,2.1,18.625
"248",18,42,0.002,10.64,4.4,18.5
"249",15,38,0.006,10.44,6.7,17.125
"250",13,40,0.029,10.46,4,15.75
"251",12,45,0.09,10.93,6.5,14.5
"252",16,48,0.124,11.25,7.7,14.125
"253",22,46,0.159,11.84,5.4,15
"254",22,42,0.26,12.99,5,16.375
"255",34,40,0.521,14.42,6.9,19
"256",41,39,0.408,14.83,7.5,21.875
"257",43,38,0.25,14.76,6.6,25.375
"258",40,36,0.228,15,11.9,28.75
"259",36,40,0.039,13.23,13.4,31.75
"260",32,40,0.002,12.38,11.6,33.75
"261",31,41,0.001,11.78,7.7,34.875
"262",31,45,0.001,10.9,5.5,36
"263",31,48,0.001,10.33,4.9,35.625
"264",17,53,0.001,9.22,7.5,32.625
"265",18,57,0.001,8.34,7.7,29.5
"266",21,59,0.001,7.89,7.8,27.125
"267",16,62,0.001,7.23,4.4,24.625
"268",20,61,0.001,7.2,5,23.125
"269",16,64,0.001,6.47,2.7,21.25
"270",13,67,0.001,6.1,2.2,19
"271",4,67,0.002,6.39,1.8,15.625
"272",4,63,0.002,7.7,2.9,14
"273",3,64,0.007,7.99,2.5,12.125
"274",4,60,0.05,8.96,3.1,10
"275",7,51,0.152,11.23,2.7,8.875
"276",13,43,0.205,12.98,3.3,8
"277",18,40,0.207,14.13,4.8,8.25
"278",13,40,0.128,14.18,5.3,8.25
"279",11,39,0.178,14.41,5.1,9.125
"280",18,36,0.301,16.27,4.6,10.875
"281",24,36,0.186,16.46,7,13.5
"282",32,35,0.09,16.81,5.5,17
"283",22,37,0.037,16.55,3.2,18.875
"284",5,44,0.002,15.04,4.6,17.875
"285",4,51,0.001,13.76,5.3,16.125
"286",3,57,0.001,12.2,3.4,14.875
"287",5,61,0.001,11.28,5.7,14.125
"288",7,64,0.001,10.84,7.8,12.75
"307",47,31,0.031,22.03,2.6,55.5
"308",26,37,0.002,20.33,5.5,51.2857142857143
"309",28,43,0.001,18.25,5.7,48.375
"310",31,47,0.001,16.53,6.8,46.5
"311",33,50,0.001,15.53,6.7,43.875
"312",35,53,0.001,14.22,4.1,41
"313",30,55,0.001,13.02,2.6,36.75
"314",30,57,0.001,12.12,3.4,32.5
"315",20,60,0.001,11.36,2.2,29.125
"316",12,64,0.001,10.16,0.8,27.375
"317",14,66,0.001,9.69,1.8,25.625
"318",11,68,0.001,9.09,1,23.125
"319",5,69,0.001,8.66,1,19.625
"320",3,69,0.001,8.5,1,15.625
"321",3,72,0.007,7.8,0.4,12.25
"322",5,60,0.131,11.13,1.3,9.125
"323",13,41,0.3,16.55,0.9,8.25
"324",25,29,0.423,20.57,2.6,9.875
"325",38,25,0.51,23.02,3.3,12.875
"326",51,22,0.545,24.53,3.9,17.875
"327",64,22,0.513,25.64,4.7,25.25
"328",79,21,0.439,26.9,3.1,34.75
"329",84,20,0.328,27.93,3.6,44.875
"330",73,20,0.193,27.74,3.6,53.375
