"","O3","RH","SR","TOUT","WSR","O3P"
"4038",14,68,0.001,23.88,4.4,18.25
"4039",12,69,0.002,23.52,4.9,16.875
"4040",9,71,0.028,23.4,3.4,15.375
"4041",11,70,0.15,24.52,3.8,14.25
"4042",14,63,0.394,26.29,6.8,13.625
"4043",24,59,0.557,27.82,6.4,14.375
"4044",29,50,0.673,29.67,9.3,16
"4045",28,44,0.766,30.67,14.3,17.625
"4046",30,40,0.801,32.27,13.6,19.625
"4047",33,35,0.778,32.96,16.3,22.25
"4048",33,29,0.715,34.07,15.2,25.25
"4049",31,27,0.469,34.23,16.5,27.75
"4050",27,34,0.357,32.91,19,29.375
"4051",25,46,0.109,28.94,23,29.5
"4052",24,45,0.036,28.67,16,28.875
"4053",21,50,0.008,27.95,10.1,28
"4054",20,50,0.001,27.89,8.9,26.75
"4055",25,52,0.002,27.84,14.8,25.75
"4056",23,58,0.002,27,12.5,24.5
"4057",21,61,0.002,26.51,11.2,23.25
"4058",22,62,0.002,26.01,9.7,22.625
"4059",24,63,0.002,25.6,8.7,22.5
"4060",24,64,0.002,25.09,8.9,22.5
"4061",24,66,0.002,24.52,6.4,22.875
"4062",21,70,0.001,23.85,6.4,23
"4063",17,73,0.002,23.19,8.6,22
"4064",16,75,0.019,23.03,6.7,21.125
"4065",17,75,0.146,23.25,8.7,20.625
"4066",21,65,0.414,26.11,6.6,20.5
"4067",27,58,0.571,27.93,7.1,20.875
"4068",28,49,0.698,29.49,12.4,21.375
"4069",30,45,0.776,30.65,14,22.125
"4070",33,39,0.795,32.5,14,23.625
"4071",31,34,0.769,33.65,17,25.375
"4072",32,31,0.738,34.1,19.1,27.375
"4073",33,30,0.527,34.36,19.2,29.375
"4074",33,28,0.299,34.3,15.4,30.875
"4075",35,33,0.24,33.04,19.2,31.875
"4076",29,44,0.052,29.05,12.8,32
"4077",24,42,0.008,29.38,12,31.25
"4078",21,49,0.001,28.33,10.6,29.75
"4079",19,51,0.001,27.7,8.8,28.25
"4080",21,50,0.001,27.53,10.7,26.875
"4081",21,53,0.001,26.67,8.2,25.375
"4082",21,57,0.001,25.7,7.6,23.875
"4084",20,65,0.001,24.39,7.6,21
"4085",20,69,0.001,23.67,7.5,20.4285714285714
"4086",18,73,0.001,23.09,6.9,20
"4087",17,75,0.003,22.86,6.7,19.7142857142857
"4088",11,75,0.024,23.08,6.8,18.2857142857143
"4089",12,75,0.143,23.27,9.9,17
"4090",19,65,0.401,25.84,7.6,16.7142857142857
"4091",27,53,0.564,28.94,6.5,18
"4092",32,42,0.69,31.53,9.9,19.5
"4093",36,36,0.769,32.99,11.9,21.5
"4094",40,29,0.786,34.22,17.2,24.25
"4095",40,26,0.692,34.61,19.7,27.125
"4096",41,26,0.65,34.83,21.2,30.875
"4097",40,25,0.548,35.3,18.3,34.375
"4098",38,26,0.419,35.37,18,36.75
"4099",38,30,0.246,33.73,23.2,38.125
"4100",39,32,0.099,32.89,23.8,39
"4101",39,36,0.01,31.55,21.9,39.375
"4102",37,39,0.001,30.8,18.1,39
"4103",37,42,0.002,29.66,20.2,38.625
"4104",36,49,0.002,28.4,24.1,38
"4105",34,53,0.001,27.55,18.3,37.25
"4106",31,57,0.001,26.77,11.5,36.375
"4107",29,60,0.001,26.15,9.6,35.25
"4108",29,64,0.001,25.33,10.6,34
"4109",27,68,0.001,24.48,9,32.5
"4110",25,71,0.001,23.8,7.2,31
"4111",18,75,0.002,23.41,7.1,28.625
"4112",15,75,0.02,23.47,4.8,26
"4113",17,74,0.145,23.91,8.7,23.875
"4114",20,63,0.406,26.56,9.4,22.5
"4115",28,50,0.565,29.4,11.3,22.375
"4116",34,49,0.695,29.65,14.9,23
"4117",35,42,0.784,31.19,15.8,24
"4118",37,34,0.799,32.73,16.1,25.5
"4119",37,31,0.771,33.61,17.5,27.875
"4120",38,29,0.712,34.25,17.7,30.75
"4121",39,28,0.568,34.61,16.2,33.5
"4122",38,28,0.429,34.71,14.7,35.75
"4123",34,34,0.196,33.31,21.3,36.5
"4124",33,50,0.065,29.38,27.2,36.375
"4125",26,60,0.009,27.65,20.2,35.25
"4126",25,64,0.002,26.59,11.5,33.75
"4127",24,75,0.003,24.51,8.9,32.125
"4128",22,80,0.003,23.74,7.4,30.125
"4129",22,83,0.003,23.4,6.3,28
"4130",22,81,0.003,23.4,7.8,26
"4131",21,79,0.004,23.53,5.9,24.375
"4132",15,79,0.003,23.31,8,22.125
"4133",14,80,0.002,23.07,7.4,20.625
"4134",11,81,0.002,22.71,7.4,18.875
"4135",12,82,0.003,22.37,7.3,17.375
"4136",10,80,0.017,22.66,6.6,15.875
"4137",14,77,0.061,23.44,5.9,14.875
"4138",16,65,0.385,26.36,8,14.125
"4139",20,59,0.556,27.23,14.3,14
"4140",24,56,0.531,28.15,15.1,15.125
"4141",26,50,0.793,29.73,15.4,16.625
"4142",27,39,0.812,31.44,18.3,18.625
"4143",27,33,0.789,32.81,16.7,20.5
"4144",28,33,0.685,33.25,18.3,22.75
"4145",28,28,0.584,33.7,18,24.5
"4146",30,33,0.391,33.05,19.8,26.25
"4147",31,34,0.26,32.27,17.6,27.625
"4148",28,38,0.113,31.35,13.6,28.125
"4149",29,44,0.013,29.33,15.8,28.5
"4150",25,51,0.001,27.91,8.3,28.25
"4151",22,55,0.001,27.14,8.2,27.625
"4152",22,61,0.001,25.96,8.9,26.875
"4153",24,62,0.001,25.33,6.7,26.375
"4154",24,63,0.001,24.84,6.4,25.625
"4155",20,65,0.001,24.3,7.3,24.25
"4156",16,68,0.001,23.47,6.2,22.75
"4157",16,72,0.001,22.6,4,21.125
"4158",11,76,0.001,21.87,3.9,19.375
"4159",5,76,0.002,21.82,2.9,17.25
"4160",4,74,0.022,22.21,3.7,15
"4161",8,71,0.143,23.16,5.2,13
"4162",15,63,0.384,25.56,5.5,11.875
"4163",27,56,0.544,27.38,6.5,12.75
"4164",40,45,0.675,29.52,8.7,15.75
"4165",34,33,0.764,31.42,13.8,18
"4166",34,32,0.786,32.12,15.2,20.875
"4167",32,28,0.759,33.66,12.2,24.25
"4168",32,25,0.687,34.46,12.8,27.75
"4169",33,24,0.567,34.55,17,30.875
"4170",32,22,0.416,34.5,17.7,33
"4171",30,21,0.25,34.39,18,33.375
"4172",29,22,0.089,33.75,15.7,32
"4173",27,26,0.009,32.66,13.6,31.125
"4174",15,26,0.001,31.58,6.9,28.75
"4175",23,38,0.001,30.14,23.5,27.625
"4176",23,43,0.001,28.78,15.4,26.5
"4177",21,45,0.001,27.61,14.2,25
"4178",21,49,0.001,26.81,11.1,23.625
"4179",19,55,0.001,25.85,8.7,22.25
"4180",20,59,0.001,24.88,6.3,21.125
"4181",16,64,0.001,24.08,7.5,19.75
"4182",13,66,0.001,23.36,4.8,19.5
"4183",8,67,0.002,22.88,3.4,17.625
"4184",4,69,0.02,22.73,4.4,15.25
"4185",6,67,0.144,23.8,5.2,13.375
"4186",13,58,0.394,26.49,6.4,12.375
"4187",24,52,0.541,28.33,6.9,13
"4188",52,47,0.669,29.96,7.1,17
"4189",58,36,0.759,32.35,9.7,22.25
"4190",44,29,0.793,33.54,15.3,26.125
"4191",42,28,0.765,35.18,12,30.375
"4192",43,24,0.694,35.87,13.4,35.25
"4193",43,20,0.574,36.45,14.3,39.875
"4194",43,16,0.425,36.45,17.4,43.625
"4196",39,17,0.091,35.86,13.3,44.5714285714286
"4197",36,24,0.01,33.89,22.1,41.4285714285714
"4198",33,37,0.002,31.55,29.3,39.8571428571429
"4199",31,44,0.002,29.47,23.8,38.2857142857143
"4200",28,47,0.001,28.55,16.5,36.1428571428571
"4201",28,50,0.001,27.87,14.5,34
"4202",28,54,0.001,26.97,10.7,31.8571428571429
"4203",26,59,0.001,25.73,6.2,31.125
"4204",24,63,0.001,24.88,6.1,29.25
"4205",23,65,0.001,24.23,7.5,27.625
"4206",18,67,0.001,23.41,2.6,25.75
"4207",16,72,0.002,23.02,4.7,23.875
"4208",16,75,0.027,23.01,6,22.375
"4209",18,73,0.115,23.54,6.1,21.125
"4210",18,66,0.39,25.66,6.3,19.875
"4211",26,60,0.551,27.02,6.7,19.875
"4212",44,53,0.679,28.88,6.3,22.375
"4213",57,47,0.757,30.55,6.4,26.625
"4214",49,36,0.783,32.64,10.2,30.5
"4215",43,33,0.762,33.31,13.4,33.875
"4216",44,30,0.692,34.87,10.9,37.375
"4217",44,28,0.55,35.49,10.7,40.625
"4218",43,25,0.42,36.1,12.5,43.75
"4219",44,23,0.267,35.81,12.9,46
"4220",41,24,0.096,35.05,14.9,45.625
"4221",41,30,0.01,33.17,23.1,43.625
"4222",39,39,0.002,30.77,28.3,42.375
"4223",35,50,0.002,28.85,29.1,41.375
"4224",33,56,0.002,27.48,25.9,40
"4225",33,57,0.002,27.04,19,38.625
"4226",32,60,0.002,26.24,17.1,37.25
"4227",32,63,0.002,25.46,17.5,35.75
"4228",31,65,0.002,25.05,11.9,34.5
"4229",29,67,0.001,24.59,6.3,33
"4230",28,69,0.001,24.13,5.5,31.625
"4231",28,71,0.002,23.53,2.4,30.75
"4232",25,71,0.026,23.71,1.9,29.75
"4233",25,67,0.117,24.91,3.9,28.75
"4234",24,61,0.386,26.97,5.9,27.75
"4235",34,60,0.551,27.74,8,28
"4236",48,55,0.67,29.12,7.4,30.125
"4237",60,47,0.75,31.17,7.5,34
"4238",44,39,0.801,32.16,14.7,36
"4239",41,36,0.796,32.91,15.6,37.625
"4240",42,33,0.743,33.74,14.6,39.75
"4241",43,31,0.555,34.3,14.2,42
"4242",43,29,0.386,34.39,11.3,44.375
"4243",41,28,0.243,34.67,10.8,45.25
"4244",40,28,0.108,33.98,11,44.25
"4245",38,31,0.01,32.73,13.3,41.5
"4246",30,51,0.004,29.19,12.6,39.75
"4247",26,49,0.002,28.76,9.5,37.875
"4248",33,48,0.001,28.91,13.9,36.75
"4249",33,51,0.002,28.2,15.9,35.5
"4250",32,54,0.001,27.58,7.3,34.125
"4251",31,57,0.001,26.72,5.1,32.875
"4252",30,59,0.001,26.2,5,31.625
"4253",27,61,0.001,25.55,3.4,30.25
"4254",23,65,0.001,24.56,2.4,29.375
"4255",17,69,0.002,24.24,4,28.25
"4256",13,71,0.021,24.18,4.5,25.75
"4257",10,70,0.142,24.96,5.1,22.875
"4258",17,64,0.383,27.02,6.3,21
"4259",32,57,0.474,28.72,6.7,21.125
"4260",49,55,0.301,29.13,6,23.5
"4261",61,48,0.241,30.46,5.4,27.75
"4262",55,40,0.722,32.31,9.5,31.75
"4263",40,38,0.6,33.24,9.3,34.625
"4264",40,33,0.732,34.38,10.4,38
"4265",43,31,0.389,34.72,10.2,42.125
"4266",32,65,0.129,26.59,12,44
"4267",31,51,0.29,30.13,7.7,43.875
"4268",28,40,0.074,31.34,7.3,41.25
"4269",30,45,0.009,29.52,15.7,37.375
"4270",30,46,0.001,28.51,16.7,34.25
"4271",30,49,0.002,28.01,17.4,33
"4272",25,55,0.002,27.15,10,31.125
"4273",24,59,0.002,26.71,7.4,28.75
"4274",25,64,0.002,25.88,5.9,27.875
"4275",27,67,0.002,24.86,8.4,27.375
"4276",29,70,0.002,24.03,7.3,27.5
"4277",25,73,0.002,23.34,6.1,26.875
"4278",20,74,0.001,23.09,4.2,25.625
"4279",16,72,0.002,23.16,4.4,23.875
"4280",5,77,0.023,23.65,3.9,21.375
"4281",11,74,0.134,24.46,5.6,19.75
"4282",19,65,0.361,26.69,6.8,19
"4283",28,58,0.53,28.28,6.8,19.125
"4284",48,49,0.694,30.27,6.2,21.5
"4285",51,40,0.746,31.83,9.3,24.75
"4286",55,38,0.796,32.32,11.7,29.125
"4287",52,34,0.475,33.01,10.3,33.625
"4288",37,35,0.178,32.16,12.3,37.625
"4289",40,34,0.227,32.82,7.5,41.25
"4290",37,35,0.166,32.65,9,43.5
"4291",38,33,0.27,33.44,9.3,44.75
"4292",38,33,0.129,33.35,8.6,43.5
"4293",33,37,0.011,31.58,9,41.25
"4294",32,40,0.002,30.46,8.9,38.375
"4295",37,56,0.004,27.31,13.7,36.5
"4296",43,83,0.003,22.47,10.2,37.25
"4297",49,89,0.003,20.38,9.5,38.375
"4298",46,88,0.003,21,7.6,39.5
"4299",48,87,0.003,21.04,7.8,40.75
"4300",47,87,0.003,20.5,9.6,41.875
"4301",42,86,0.003,20.39,3.6,43
"4302",36,85,0.003,20.49,6.6,43.5
"4303",22,86,0.003,20.09,2.8,41.625
"4304",12,85,0.028,20.24,2.7,37.75
"4305",18,78,0.13,22.24,5.2,33.875
"4306",26,68,0.165,24.1,4.2,31.375
"4307",30,60,0.542,26.75,5.6,29.125
"4308",54,51,0.673,28.51,5.8,30
"4309",70,43,0.76,30.14,6.2,33.5
"4310",77,40,0.796,31.33,6.9,38.625
"4311",81,38,0.753,32,10.4,46
"4312",77,38,0.715,32.13,12,54.125
"4313",69,36,0.531,32.43,9.3,60.5
"4314",58,40,0.391,31.89,14.7,64.5
"4315",58,43,0.25,30.71,15.8,68
"4316",58,45,0.094,30.14,12.8,68.5
"4317",54,47,0.01,29.42,10.4,66.5
"4318",50,50,0.001,28.58,10.1,63.125
"4319",48,54,0.001,27.54,5.4,59
"4320",39,57,0.001,26.69,7,54.25
"4321",44,59,0.001,26.12,4.4,51.125
"4322",43,59,0.001,25.89,6.2,49.25
"4323",36,62,0.002,25.42,6.4,46.5
"4324",32,64,0.001,24.95,5.9,43.25
"4325",32,65,0.002,24.71,4.1,40.5
"4326",28,66,0.002,24.8,2.3,37.75
"4327",22,70,0.003,24.72,2.2,34.5
"4328",14,70,0.042,24.99,2.1,31.375
"4329",18,66,0.101,25.99,3.5,28.125
"4330",28,60,0.295,27.55,4.4,26.25
"4331",47,52,0.536,29.59,6.8,27.625
"4332",65,46,0.671,31.2,6.9,31.75
"4333",91,40,0.767,32.9,6.6,39.125
"4334",111,38,0.604,33.49,6.9,49.5
"4335",73,44,0.092,30.75,11.9,55.875
"4336",58,44,0.135,29.86,8.1,61.375
"4337",49,46,0.089,29.2,8.9,65.25
"4338",45,53,0.224,28.55,8.5,67.375
"4339",62,37,0.302,32.05,7.3,69.25
"4340",55,40,0.113,31.33,11.4,68
"4341",50,52,0.014,27.89,12.5,62.875
"4342",46,56,0.001,27,10,54.75
"4343",37,60,0.001,26.14,11,50.25
"4344",41,58,0.001,26.11,8.1,48.125
"4346",32,62,0.001,24.68,5,46.1428571428571
"4347",30,64,0.001,23.98,2.5,41.5714285714286
"4348",19,69,0.001,24.11,2.8,36.4285714285714
"4349",21,70,0.001,23.86,2.5,32.2857142857143
"4350",11,70,0.001,23.38,2.3,27.2857142857143
"4351",6,72,0.002,22.73,2.7,22.8571428571429
"4352",6,67,0.018,23.64,4.2,17.8571428571429
"4353",11,65,0.129,24.97,3.9,17
"4354",23,56,0.379,27.99,6,15.875
"4355",36,50,0.534,29.84,6.5,16.625
"4356",53,45,0.663,31.33,7.5,20.875
"4357",83,38,0.747,32.8,6.8,28.625
"4358",94,33,0.775,34.18,7.3,39
"4359",94,31,0.748,35.12,7.3,50
"4360",101,30,0.68,36.05,8.3,61.875
"4361",94,32,0.519,35.68,11.9,72.25
"4362",112,36,0.371,34.82,11.7,83.375
"4363",93,34,0.285,34.44,12.9,90.5
"4364",75,34,0.088,33.7,10.5,93.25
"4365",67,37,0.01,32.47,7.8,91.25
"4366",52,43,0.001,31.17,6.7,86
"4367",43,44,0.001,30.64,10.6,79.625
"4368",38,46,0.001,30.07,7.7,71.75
"4369",32,50,0.002,29.11,7.9,64
"4370",30,56,0.001,27.99,5.9,53.75
"4371",24,59,0.001,27.25,3.5,45.125
"4372",22,63,0.001,27.01,5,38.5
"4373",17,70,0.001,26.08,5.6,32.25
"4374",15,72,0.001,25.61,6.6,27.625
"4375",13,75,0.003,25.01,7.5,23.875
"4376",8,75,0.029,24.86,7.6,20.125
"4377",8,73,0.116,25.37,8.2,17.125
"4378",9,70,0.238,26.43,6.5,14.5
"4379",17,64,0.405,27.98,7.4,13.625
"4380",40,57,0.497,29.57,6.7,15.875
"4381",62,55,0.292,29.62,6.9,21.5
"4382",86,52,0.331,30.34,6.6,30.375
"4383",97,48,0.284,31.67,4.8,40.875
"4384",75,54,0.053,30.41,8.1,49.25
"4385",63,56,0.042,30.03,7.3,56.125
"4386",48,70,0.074,28,5.4,61
"4387",41,66,0.061,28.15,6.5,64
"4388",31,66,0.047,28,5.8,62.875
"4389",30,64,0.009,27.64,7.1,58.875
"4390",29,64,0.002,27.26,7.3,51.75
"4391",38,59,0.002,28.44,6.2,44.375
"4392",27,61,0.002,28.52,5.8,38.375
"4393",23,62,0.002,28.09,9.2,33.375
"4394",18,66,0.002,27.16,6.9,29.625
"4395",16,68,0.002,26.38,6.1,26.5
"4396",15,69,0.002,25.83,5,24.5
"4397",14,71,0.002,25.39,4.6,22.5
"4398",13,73,0.002,24.93,4.2,20.5
"4399",11,74,0.003,24.69,4.2,17.125
"4400",9,75,0.033,24.72,4,14.875
"4401",12,75,0.057,24.87,7,13.5
"4402",13,75,0.118,24.9,7.7,12.875
"4403",12,70,0.292,26.19,6,12.375
"4404",22,63,0.595,28.28,6.6,13.25
"4405",46,58,0.637,29.62,6.5,17.25
"4406",64,53,0.699,31.21,6.1,23.625
"4407",54,46,0.68,32.71,8.6,29
"4408",35,42,0.252,32.89,10.4,32.25
"4409",37,47,0.041,31.68,7,35.375
"4410",31,49,0.037,31.22,6.2,37.625
"4411",30,48,0.141,32.01,7.3,39.875
"4412",32,44,0.086,32.23,9.7,41.125
"4413",25,41,0.01,31.81,13.8,38.5
"4414",23,52,0.002,30.22,27.6,33.375
"4415",24,55,0.002,29.22,22.2,29.625
"4416",24,56,0.002,28.69,19.4,28.25
"4417",23,58,0.002,28,18.1,26.5
"4418",22,59,0.002,27.27,12.8,25.375
"4419",20,62,0.001,26.38,7.7,24.125
"4420",18,66,0.001,25.38,5.7,22.375
"4421",16,68,0.001,24.97,5.7,21.25
"4422",12,71,0.001,24.2,3.3,19.875
"4423",6,74,0.002,23.62,3.4,17.625
"4424",4,75,0.024,23.44,2.4,15.125
"4425",5,72,0.117,24.67,5,12.875
"4426",11,67,0.389,26.37,6,11.5
"4427",17,62,0.576,27.62,7,11.125
"4428",30,59,0.667,28.43,6.7,12.625
"4429",42,51,0.747,30.8,8.2,15.875
"4430",37,42,0.788,32.43,12.4,19
"4431",38,36,0.765,34.33,10.6,23
"4432",37,31,0.694,35.69,12.9,27.125
"4433",34,29,0.571,36.36,13.9,30.75
"4434",31,29,0.425,35.96,17.2,33.25
"4435",30,30,0.233,35.32,19.6,34.875
"4436",29,32,0.078,34.41,18.7,34.75
"4437",27,32,0.008,33.36,17.7,32.875
"4438",18,34,0.001,32.37,11.5,30.5
"4439",19,48,0.002,30.47,21.4,28.125
"4440",19,53,0.002,29.52,17.4,25.875
"4441",19,59,0.002,28.6,18.4,24
"4442",21,63,0.002,27.71,16.9,22.75
"4443",19,65,0.002,27,11.8,21.375
"4444",17,67,0.001,26.18,5.7,19.875
"4445",17,69,0.001,25.62,5.7,18.625
"4446",15,71,0.001,25.04,5.2,18.25
"4447",12,72,0.002,24.85,4.7,17.375
"4448",10,73,0.021,24.56,4.9,16.25
"4449",9,72,0.123,25.14,5.7,15
"4450",12,66,0.396,27.05,6.6,13.875
"4451",20,63,0.545,27.85,7.4,14
"4452",33,57,0.675,29.51,6.4,16
"4453",48,51,0.774,31.3,6.8,19.875
"4454",45,45,0.803,32.61,10.5,23.625
"4455",37,41,0.778,33.17,14.4,26.75
"4456",40,38,0.697,34.76,11.3,30.5
"4457",41,34,0.585,36.16,10.2,34.5
"4458",37,29,0.416,36.89,10.5,37.625
"4459",31,26,0.258,36.44,15,39
"4460",28,26,0.09,35.26,16.2,38.375
"4461",19,27,0.008,33.96,10.1,34.75
"4462",17,31,0.001,32.33,15,31.25
"4463",20,36,0.001,30.82,24.3,29.125
"4464",20,40,0.001,29.76,20.6,26.625
"4465",21,47,0.001,28.77,16.3,24.125
"4466",20,53,0.001,27.7,9.8,22
"4467",19,56,0.001,26.44,6.9,20.5
"4468",16,58,0.001,25.66,6.4,19
"4469",14,61,0.001,24.87,6.9,18.375
"4470",9,66,0.001,23.73,2.3,17.375
"4471",8,64,0.001,23.97,4.8,15.875
"4472",6,66,0.017,23.83,4.6,14.125
"4473",6,64,0.121,24.72,5.3,12.25
"4474",12,59,0.342,26.69,5.6,11.25
"4475",27,54,0.509,28.35,6,12.25
"4476",49,50,0.666,29.95,6.3,16.375
"4477",72,44,0.763,31.81,6.2,23.625
"4478",66,37,0.783,33.37,10.1,30.75
"4479",41,32,0.789,34.16,12.6,34.875
"4480",39,34,0.704,34.21,14.2,39
"4481",40,33,0.515,35,10.6,43.25
"4482",42,30,0.442,35.74,11.2,47
"4483",41,30,0.275,35.62,13.8,48.75
"4484",36,28,0.102,35.08,12.7,47.125
"4485",27,29,0.01,33.71,10.1,41.5
"4486",20,34,0.001,32.5,13.1,35.75
"4487",22,47,0.002,30.62,24.5,33.375
"4488",21,52,0.001,29.48,19.2,31.125
"4489",22,56,0.001,28.76,19,28.875
"4490",23,59,0.001,27.92,15.6,26.5
"4491",21,63,0.001,27.05,7.2,24
"4492",20,66,0.001,26.19,5.8,22
"4493",18,69,0.001,25.33,3.2,20.875
"4494",13,71,0.001,24.98,4.9,20
"4495",7,73,0.002,24.76,4.5,18.125
"4496",6,75,0.019,24.32,4.2,16.25
"4497",7,73,0.102,24.99,5,14.375
"4498",12,65,0.364,27.08,6.5,13
"4499",24,60,0.531,28.43,6.9,13.375
"4500",50,54,0.664,30.25,6.4,17.125
"4501",75,49,0.746,31.73,6.9,24.25
"4502",54,37,0.779,33.47,12.7,29.375
"4503",49,36,0.739,34.29,13.1,34.625
"4504",41,34,0.596,35,11.9,39
"4505",42,31,0.567,35.93,12,43.375
"4506",41,28,0.414,36.42,12.2,47
"4507",42,25,0.274,36.55,14.6,49.25
"4508",36,26,0.102,36.06,11,47.5
"4509",28,29,0.009,34.47,8.1,41.625
"4510",18,33,0.001,33.08,6.7,37.125
"4511",29,34,0.001,32.32,16.3,34.625
"4512",25,41,0.001,30.98,14.8,32.625
"4513",25,47,0.001,29.86,11.7,30.5
"4514",25,50,0.001,28.51,5.6,28.5
"4515",24,55,0.001,27.57,5.6,26.25
"4516",21,57,0.001,26.9,5,24.375
"4517",18,59,0.001,26.22,6.2,23.125
"4518",10,62,0.001,25.3,4,22.125
"4519",13,66,0.002,25.17,3.8,20.125
"4520",10,69,0.018,24.72,4.9,18.25
"4521",13,68,0.119,25.28,6.8,16.75
"4522",16,62,0.383,27.35,6.2,15.625
"4523",31,57,0.536,28.78,6.5,16.5
"4524",58,51,0.658,30.62,6.3,21.125
"4525",85,47,0.74,31.9,7,29.5
"4526",57,38,0.777,33.72,11.5,35.375
"4527",36,36,0.753,34.11,14.7,38.25
"4528",38,34,0.679,35.36,12.5,41.75
"4529",37,31,0.583,36.17,14.2,44.75
"4530",35,29,0.42,36.49,14.1,47.125
"4531",34,26,0.26,36.51,14.2,47.5
"4532",34,25,0.086,36,13.4,44.5
"4533",29,27,0.007,34.96,9.7,37.5
"4534",23,43,0.002,32.51,25.3,33.25
"4535",21,50,0.002,30.71,24.2,31.375
"4536",19,54,0.002,29.5,18.5,29
"4537",17,55,0.001,29.01,11.4,26.5
"4538",17,57,0.001,28.4,7.8,24.25
"4539",17,60,0.001,27.59,5.5,22.125
"4540",16,63,0.001,26.73,4.5,19.875
"4541",14,64,0.001,26.4,5.3,18
"4542",11,66,0.001,25.74,4.7,16.5
"4543",5,68,0.002,25.34,4.2,14.5
"4544",3,67,0.019,25.65,5.6,12.5
"4545",7,66,0.116,26.23,5.2,11.25
"4546",14,59,0.373,28.52,6.1,10.875
"4547",24,54,0.527,30.3,5.9,11.75
"4548",48,48,0.654,32.22,6,15.75
"4549",79,43,0.734,33.96,5.5,23.875
"4550",60,34,0.776,35.24,13.2,30
"4551",53,32,0.758,35.91,13.2,36
"4552",38,29,0.693,36.64,11.9,40.375
"4553",38,29,0.576,37.35,11.2,44.25
"4554",38,28,0.408,37.24,12.7,47.25
"4555",37,26,0.256,37.12,12,48.875
"4556",33,27,0.083,36.41,11.4,47
"4557",29,29,0.009,35.27,11.8,40.75
"4558",27,29,0.001,34.44,13.5,36.625
"4559",20,43,0.002,31.92,20,32.5
"4560",18,47,0.001,30.84,14.3,30
"4561",18,51,0.001,29.76,15.5,27.5
"4562",16,55,0.001,28.73,9.7,24.75
"4563",16,59,0.001,27.67,6.3,22.125
"4564",14,61,0.001,27.02,4.8,19.75
"4565",13,65,0.001,26.1,2.4,17.75
"4566",12,68,0.001,25.65,5.9,15.875
"4567",7,70,0.002,25.23,4.3,14.25
"4568",4,70,0.016,25.34,3.3,12.5
"4569",8,67,0.113,26.27,4.3,11.25
"4570",16,59,0.38,28.94,6,11.25
"4571",26,54,0.535,30.58,6.5,12.5
"4572",38,46,0.666,32.63,6.5,15.5
"4573",53,37,0.741,34.68,6.1,20.5
"4574",65,30,0.772,35.99,7,27.125
"4575",64,24,0.758,37.5,7.5,34.25
"4576",61,23,0.686,38.24,9,41.375
"4577",53,20,0.575,38.49,10.5,47
"4578",45,19,0.43,38.8,9.1,50.625
"4579",43,22,0.276,38.31,9.6,52.75
"4580",38,22,0.085,37.16,6.8,52.75
"4581",30,25,0.012,35.64,12.2,49.875
"4582",23,25,0,34.75,8.4,44.625
"4583",21,29,0.001,33.12,8.3,39.25
"4584",24,34,0.001,32.55,13.3,34.625
"4585",20,45,0.001,30.8,11.6,30.5
"4586",19,51,0.001,29.44,6.3,27.25
"4587",19,55,0.001,28.32,5.3,24.25
"4588",18,58,0.001,27.51,4.6,21.75
"4589",14,58,0.001,27.01,4.8,19.75
"4590",10,61,0.001,25.83,3.8,18.125
"4591",5,63,0.001,25.25,2.6,16.125
"4592",4,65,0.016,25.85,2.8,13.625
"4593",6,62,0.112,27.21,3.8,11.875
"4594",15,50,0.383,30.53,6.2,11.375
"4595",31,42,0.542,32.78,6.4,12.875
"4596",44,36,0.675,34.55,7.3,16.125
"4597",53,29,0.754,36.35,7.2,21
"4598",70,25,0.772,37.39,7.2,28.5
"4599",78,22,0.758,38.06,8.1,37.625
"4600",75,19,0.693,38.77,8.8,46.5
"4601",63,18,0.583,39.17,10.4,53.625
"4602",58,17,0.452,39.51,10.3,59
"4603",49,19,0.231,38.88,10.2,61.25
"4604",40,22,0.054,36.77,14.7,60.75
"4605",37,23,0.009,35.97,14.8,58.75
"4606",33,23,0.001,35.44,13.2,54.125
"4607",24,42,0.002,32.51,20.4,47.375
"4608",21,49,0.001,30.97,16.1,40.625
"4609",20,51,0.001,30.21,11.1,35.25
"4610",19,54,0.001,29.36,6.6,30.375
"4611",19,58,0.001,28.24,5.1,26.625
"4612",17,59,0.001,27.66,4.4,23.75
"4613",16,62,0.001,26.86,3.3,21.125
"4614",14,64,0.001,26.47,3,18.75
"4615",8,65,0.002,26.19,2.7,16.75
"4616",5,65,0.017,26.52,3,14.75
"4617",7,63,0.107,27.44,3.2,13.125
"4618",16,54,0.373,30.32,5.7,12.75
"4619",31,50,0.525,31.75,6.2,14.25
"4620",64,43,0.652,33.73,6.1,20.125
"4621",95,38,0.713,35.44,7,30
"4622",88,32,0.721,36.91,7.5,39.25
"4623",61,26,0.756,37.94,9.4,45.875
"4624",63,25,0.701,38.1,12.9,53.125
"4625",56,23,0.597,38.28,12.9,59.25
"4626",48,24,0.264,37.9,10.6,63.25
"4627",45,27,0.107,36.55,7.1,65
"4628",34,37,0.075,33.65,7.7,61.25
"4629",33,27,0.012,34.94,7.8,53.5
"4630",28,40,0.002,33,23,46
"4631",28,43,0.001,32.09,17.8,41.875
"4632",31,42,0.001,31.53,15.9,37.875
