,O3
7637,3.4604805326029435
1478,1.1625080014576454
9138,-5.206683737965093
8585,-2.9629468245517927
4138,0.5429945857515293
4162,15.881077438838574
7605,-7.125164911771762
7896,-10.90124768720463
8386,-7.779605059213068
5972,7.723352262722116
8664,4.864326684364542
2813,-9.129788071657558
5052,0.6916277239101163
4938,-4.018329112956906
4160,0.3059859059379306
7910,-3.5384140578283763
8166,3.191383846389428
6817,11.256072105269979
6756,-3.726463419428981
1845,-7.375003763390467
2075,4.965903240757754
6589,-5.70018486370482
1585,-3.113890262998595
6291,-5.9497861465113004
9,-1.2388363414575707
578,1.622311296251084
5155,-4.241177511664077
9082,3.0338319431436815
10198,-5.153634492302686
6676,3.465220450009454
2932,-7.345643551796471
7559,1.5756265401743548
8559,-13.09609422131048
5787,12.29188718595212
5439,1.472481557961757
4029,-0.9248738745699967
8424,0.46068030981998476
6624,-3.5493755318071436
8118,1.60087181728899
9727,2.369676668389772
565,-1.141365471276444
8518,-8.566942767898254
1087,7.737504613732824
9562,0.18464667793141132
992,5.758525533024027
1592,-2.8010367795803717
9595,1.4854677687973066
5852,-2.732349350572008
2875,2.5204366609566904
7412,-6.64699222350059
9113,-5.21665838811024
3480,-7.1951377658275675
5424,-3.471948150570597
2192,31.567380510984478
1603,-10.40476461293072
9679,-6.038612295931287
7756,8.767180496077188
2495,7.967412927414372
1669,0.5830473537709366
2786,0.76522445350939
3376,4.018940170082757
154,13.133916217540687
5761,6.623857400842283
4152,-1.234722639332162
9030,-9.619607452092467
7023,-19.12709990953779
8412,-8.603763532735812
6520,-3.194673925642334
4407,0.5433943425756951
2663,-14.654782800021238
2272,12.255721660460878
5842,-3.4067301582440024
3850,-6.6419271591830125
382,-25.478270343689957
5582,-0.5182660358180868
2936,-3.30841026540476
1096,15.64307474568831
3641,-5.8395239893934985
9926,14.402964629114607
3374,1.2599160448320816
9308,-1.6592716711933946
334,-9.505291878573601
8141,-0.40969633943076644
10065,-4.6661835359973765
4798,0.15905998263404797
2380,-7.6603157455093225
1540,-0.3613251637447803
133,-11.634881242785397
9693,0.30950065303640883
6999,-14.85866817192364
2168,5.883605195273887
4381,-18.079142177414113
4581,-2.251722969427533
159,1.1225651681131836
8855,4.159734225057335
8597,8.332118995026022
3673,-1.4890558980830662
7761,-4.690841016456659
7497,2.2181202601238255
8396,4.159614733676591
6320,-2.26161857520448
9343,6.226436590117615
2363,-3.0538547463066408
3182,9.30742082468673
8179,-0.7533813595064913
6649,5.625806044716811
3883,-4.3002253602246725
1109,4.237888977525245
9788,1.5447342281973278
9540,-3.6640766127621447
4891,2.9760059516124073
9134,-3.190632834172348
2949,-0.17654137678526638
554,-2.873320204378004
467,-0.41032484847727346
9131,-8.37820710838902
6358,4.574427415531247
499,4.5144202054485305
491,-5.7817913208555325
4301,-16.40049243561306
7055,-6.837150793605318
39,8.806223022069318
2667,4.070395082008801
5279,-8.322439210372366
1376,-6.700690360596425
9167,-1.8249109800030539
2836,-0.1363575993764954
8428,8.978891720579469
2124,-2.3975004729118865
7022,-17.00278860665908
836,22.396821715885707
2162,-6.367130599658665
1813,21.23865803908069
5858,-4.833214440942655
1529,-6.810559893645163
1726,7.876248687960356
9838,2.8114961105044785
2783,-5.123371999473207
6945,18.15508156178116
9035,-2.586462535472336
8633,8.027839828624266
4234,7.806376754905145
4936,-4.966091567037864
6443,15.390843940463284
555,1.3257842913063058
3037,0.4039506968039035
6972,-5.909563672992945
272,22.57921765977379
9824,-0.11820474307752704
7101,-7.485605533763945
7714,-0.8003803798063274
7955,4.727648182578761
3891,0.24117096855472653
5076,-2.8398791448480125
6032,4.916187065376917
1593,-2.642608638585088
9020,-7.120253217395728
8635,3.7601887884493834
7062,-5.76792397249973
7089,-12.901319131145513
8341,4.617017186257883
2356,1.4722046892920133
3449,-5.404880623476103
176,8.93347200583375
2948,-2.5931412412065384
1060,2.8141690629813496
3735,-9.685746837322156
1534,4.916012955502239
8846,3.9346399284092826
1082,-4.019838646969632
610,4.694214216896739
7032,-9.456711545933913
7603,-19.854561838195494
5992,1.4625502624123072
2549,7.557838368513259
9216,1.9612590068490334
7237,-0.8310263735256314
6161,16.648569563236222
7763,-6.996253926947816
2513,-5.356641424757143
9110,0.3161318757335465
7323,4.094928118033792
5175,9.680719856381458
7031,-12.132139002668126
3813,-7.972913916260339
5373,-2.8518486437301505
2530,-2.2723463059547413
9440,3.003456218337746
6685,-3.712203993392748
4912,0.18228339442386243
8557,-7.1760290657590105
5062,2.1522484444099774
6908,-7.646720885799581
10033,-3.5355245304784404
5892,-6.250034852224545
4576,-8.853335919436248
7668,-2.5935362779046756
3981,3.8973814687705186
4976,-0.9222760597280768
8368,0.5695242686061164
8200,-16.454681834839292
6254,11.286995720984564
6954,0.010176060503610529
10177,-5.425982705610679
5296,-1.3300001373067545
7234,-7.888648669050568
8128,1.3984798479955742
9733,7.7222401580104645
4066,15.585702658633167
7779,-1.6860308170796827
8729,-2.16588596059502
9899,-7.494265476070282
7477,-11.421472642744149
6524,-2.463837323339149
3220,3.3714003102031
6020,10.513831000068805
9682,-5.393359395959223
8858,0.358814179254054
2707,3.020087372286909
8093,-1.3026702783657385
8701,-6.814770327070832
6975,-3.8848307205441444
4688,-8.51138854455759
6871,4.888642372810281
1069,-13.182491400243038
9786,-21.667284873564554
8573,-0.28904619628777084
7746,-20.095614179564635
4428,-2.261758060895019
4795,4.917791841428496
5615,-12.96308483432604
8898,8.20755178275634
7333,-2.795276273623685
2860,1.7906547227345726
5563,-1.3165394591030264
2767,-0.8434618502534619
4476,-7.051404228411272
1283,17.990880853731483
9283,-3.7562396308027957
1912,-3.436898213257635
1651,1.9024204241134868
9691,-7.106008979428296
6830,-0.11646503849560474
3304,-1.156470080097435
2805,-9.430786644946537
8938,-7.479587378099453
5743,-8.629064449171054
495,-5.002572903001607
4964,-6.1912304356251155
6609,20.53369291973813
3412,-8.09019682569101
5254,-8.66084201904387
4423,1.5680432973605463
6411,-4.397834923451299
3348,-6.749798600768443
6082,-1.0200165582236167
4665,4.448296734523566
1261,-8.492922752638165
6847,12.74839961217019
10207,2.9202090975397965
3172,5.233333671004928
7174,30.944490991188943
898,6.91758055872711
2669,3.3994576799999976
10125,1.8400581184091465
9266,0.12221016252361494
1994,7.500195339490588
7931,-9.800092849895762
5065,-2.13318026037264
9604,15.151401741930428
8260,6.704807296150996
7196,4.041269503652686
3320,-0.1990182311678126
9126,1.4956429817564612
7614,-14.055241288472573
5218,3.7515064879652726
10179,-3.5120132719999475
6727,-2.1319596975090604
2434,1.7049080141886606
4654,2.6404587112357234
4527,-4.620219596383279
6140,8.214608284749872
1730,12.780920438624648
7417,-3.998423503236168
8215,-21.62279164514719
377,2.601304973595134
6153,-7.756343504690122
713,-0.651630312593042
9917,15.337382244283788
2731,3.691612085755807
2625,-3.538526553013142
2890,-0.6605379805987042
7617,-2.909569360313938
7090,-12.20246303862713
3950,-1.5791110553516035
2608,-0.2537848280927193
7143,12.430135092543807
5063,-3.623963141534418
8956,-11.476743126601335
5151,4.274391633821352
5426,-4.253831056699838
4244,-3.3073144680436855
487,2.59414935761167
7195,-6.910503115929785
4849,-2.0519012809060087
4905,5.885007394554961
7118,10.907286907616069
3270,5.350517836901005
2270,-10.61494131051866
3776,-2.7528144863372717
4025,-14.776393531026386
7481,12.233455793657285
3021,4.164417967127648
10185,-1.4313420847424396
9391,-0.9819849491173755
6336,3.9474355502733687
7838,-0.9535803804774758
4741,-3.2302544225198773
2797,1.3596488714765798
6357,2.11671264795352
8781,-0.6142092531301415
1761,2.4402810713468597
3814,-5.780290196090121
994,6.823545007291727
9032,8.798654906792464
5432,2.5324605871386865
9573,-4.624422662171938
6107,5.904147834140971
2470,6.769231951638105
6473,-10.18780804740068
2640,-4.750226812293548
8227,-2.945301995700177
4668,3.897274714036982
167,-6.603141745359281
